,type_property,type_subproperty,price,locality,netHabitableSurface,nr_bedrooms,kitchen_installed,nr_facades,hasGarden,garden_m2,hasTerrace,terrace_m2,furnished_YN,swimpool_YN,type_of_sale,land,basement,building,fireplaceExist
8859129,COMMERCIAL,MIXED_USE_BUILDING_COMMERCIAL,450000,3200,0,0,False,0,False,0,False,0,False,False,,0,0,TO_RENOVATE,False
8809019,HOUSE,APARTMENT_BLOCK,475000,1082,210,4,True,0,False,0,True,11,False,False,,0,210,Not specified,False
8915982,HOUSE,MIXED_USE_BUILDING,180000,6043,250,0,False,0,False,0,False,0,False,False,,123,123,Not specified,False
8941706,HOUSE,APARTMENT_BLOCK,409000,1080,260,5,False,0,False,0,True,10,False,False,isNewClassified,70,70,,False
8789276,HOUSE,MIXED_USE_BUILDING,498000,2400,0,0,False,0,False,0,False,0,False,False,,0,0,Not specified,False
7890180,INDUSTRY,MIXED_USE_BUILDING_INDUSTRIES,6443250,9000,0,0,False,0,False,0,True,75,False,False,,2200,2200,Not specified,False
7890181,INDUSTRY,MIXED_USE_BUILDING_INDUSTRIES,7089500,9000,0,0,False,0,False,0,False,0,False,False,,2439,2439,Not specified,False
8635514,HOUSE,APARTMENT_BLOCK,1700000,1050,600,12,True,0,False,0,False,0,False,False,,451,451,,False
8705368,COMMERCIAL,MIXED_USE_BUILDING_COMMERCIAL,100000,6001,0,0,False,0,False,0,False,0,False,False,,0,0,TO_BE_DONE_UP,False
8707108,COMMERCIAL,COMMERCIAL_PREMISES,220000,6182,0,0,False,0,False,0,False,0,False,False,,0,0,GOOD,False
7702385,COMMERCIAL,MIXED_USE_BUILDING_COMMERCIAL,750000,6717,21000,0,True,0,False,0,False,0,False,False,,21000,21000,,False
8951041,HOUSE,HOUSE,250000,8210,0,2,True,0,False,0,False,0,False,False,isNewClassified,0,0,GOOD,False
8913988,HOUSE,APARTMENT_BLOCK,3900000,1050,1600,0,True,0,False,0,False,0,False,False,,0,1600,,False
8740608,HOUSE,MIXED_USE_BUILDING,210000,6061,140,0,False,0,False,0,False,0,False,False,,420,420,Not specified,False
7281931,HOUSE,APARTMENT_BLOCK,250000,1480,0,2,False,0,False,0,False,0,False,False,,0,0,,False
8934965,HOUSE,MIXED_USE_BUILDING,150000,6030,535,0,False,0,False,0,False,0,False,False,isNewClassified,0,535,Not specified,False
8638877,OFFICE,OFFICES,550000,1731,0,0,False,0,False,0,False,0,False,False,,0,0,Not specified,False
8241785,HOUSE,HOUSE,350000,8760,0,8,False,0,False,0,False,0,False,False,,0,0,Not specified,False
8957079,HOUSE,APARTMENT_BLOCK,2975000,1000,1193,25,True,0,False,0,True,0,False,False,isNewClassified,8648,8648,AS_NEW,False
8957069,HOUSE,APARTMENT_BLOCK,2975000,1080,1193,25,True,0,False,0,True,0,False,False,isNewClassified,8648,8648,AS_NEW,False
8924189,HOUSE,APARTMENT_BLOCK,895000,1050,350,7,True,0,True,75,True,20,False,False,,186,186,GOOD,False
8923466,HOUSE,MIXED_USE_BUILDING,339000,1730,428,2,True,0,True,300,True,12,False,False,,671,671,GOOD,False
8892792,HOUSE,APARTMENT_BLOCK,1750000,1040,500,9,False,0,False,0,False,0,True,False,,25,25,GOOD,False
8902348,HOUSE,APARTMENT_BLOCK,160000,6010,140,3,True,0,True,125,True,15,False,False,,250,15,AS_NEW,False
8951863,HOUSE,HOUSE,239500,3500,210,2,True,0,False,0,False,0,False,False,isNewClassified,352,352,JUST_RENOVATED,True
